Selection Menu	Title	Dry Fragrance	Wet Aroma	Brightness	Flavor	Body	Finish	Sweetness	Clean Cup	Complexity	Uniformity	Cupper Correction	Score
Brazil	Brazil Joao de Campos WP Decaf	7.4	8	7.8	8.4	9	8.2	8	8	6	8	7	85.8
Brazil	Brazil Joao de Campos Yellow Catuai 	8	7.8	7.4	8	9	8	7.5	7.8	5	8	8	84.5
Brazil	Brazil Cerrado WP Decaf	7	7.5	7.3	8.3	8.7	8	7	8.5	6	8	7	83.3
Brazil	Brazil Cachoeira Yellow Canario Bourbon	8.5	8	8.5	8.5	6.5	8	8.5	7.5	7.5	8	7	86.5
Brazil	Brazil Moreninha Formosa "Raisin" Coffee	8.5	8.2	7	8.5	10	8	7	5.5	8.5	7	9	87.2
Brazil	Brazil Organic Nossa Senhora de Fatima	8.5	7.5	6.5	8.5	9.5	8	8.5	6.5	7.5	8.5	8	87.5
Brazil	Brazil Cerrado DP Fazenda Aurea Dec 2008	7.5	7.5	7	8	9.5	8	7.5	7.5	5	8	8	83.5
Brazil	Brazil Daterra Farms - Sweet Yellow	8.5	8.3	7.8	8.3	9	8.4	8	8	6	9	6	87.3
Brazil	Brazil Fazenda Vista Alegre Natural Dry	8.5	8.5	7	8.8	9.5	8.2	7.5	7.5	8.5	8	5.5	87.5
Brazil	Brazil Dry-Process Mogiana	7.8	7.5	6.5	8.3	9.5	8.1	7.5	7.5	5	8	8	83.7
Brazil	Brazil Jacu Bird Coffee	8.3	8.5	7	8.5	9.5	8.5	7	7	7	8	7	86.3
Brazil	Brazil Cachoeira Yellow Canario Bourbon	8.5	8	8.5	8.5	6.5	8	8.5	7.5	7.5	8	8	87.5
Brazil	Brazil Fazenda Ambiental Fortaleza Celso/Hamilton	8	8.5	8	9	8.7	8.7	7.5	7	9	7	7	88.4
Brazil	Brazil Moreninha Formosa Raisin Coffee MicroLot	8.5	8.2	7	8.5	10	8	7	5.5	8.5	7	9	87.2
Brazil	Brazil Carmo de Minas - Fazenda do Serrado	7.3	7.7	7	8.2	9	8.4	7	6.8	6.6	9	8	85
Brazil	Brazil Daterra Farms - Yellow Bourbon	8.5	8.6	8.4	8.8	8.8	8.7	7	7	6	8	8	87.8
Brazil	Brazil Cerrado WP Decaf	7	7.5	7.3	8	8.7	8	7	8.5	6	8	7	83
Brazil	Brazil Ipanema "Tree Dry-Process"	8.2	7.8	8	8.5	10	8	6	6	7	7	8	84.5
Columbia	Colombia Cauca Popayan WP Decaf	8	8.2	8.4	8.4	7	8.4	7.5	8	6	8	7	84.9
Columbia	Colombia Tolima, Misael Garzon Microlot	8.6	8.7	8.6	8.8	8.6	8.5	8	8	8	9	4	88.8
Columbia	Colombia Gaitania "Los Pijaos de Tolima"	8.5	8.4	8.3	8.8	8.3	8.4	7.5	8	7	8	6	87.2
Columbia	Colombia WP Decaf -Huila Excelso	8	8.3	8.5	8.5	7	8.4	7.5	9	6	8	7	86.2
Columbia	Colombia Cauca -Oro de Suarez	8.5	8.4	8.5	8.8	8	8.4	8	7.2	6	7	7	85.8
Columbia	Colombia Huila San Jose de Isnos	8.7	8.4	8.8	8.7	7	8.6	8.5	8.5	7.5	8	4	86.7
Columbia	Colombia WP Decaf - Huila Pitalito	7.6	7.8	8.5	8.5	7	8.3	7.5	8	6	8	8	84.2
Costa Rica	Costa Rica Los Nacientes	8.5	8.2	8.6	8.5	8.8	8.5	8.2	7.8	8	8	4	87.1
Costa Rica	Costa Rica Tarrazu "Sangre de Toro"	8.7	8.8	8.6	8.7	8.4	8.8	9	8.5	8	8	5	90.5
Costa Rica	Costa Rica Lourdes de Naranjo - Finca Fidel	8.4	8.7	8.7	8.8	8.3	8.8	8.5	8	8.4	7.5	4	88.1
Costa Rica	Costa Rica Bajo Canet de Tarrazu	8.5	8.3	8.3	8.4	8.5	8	8	7.5	8.3	8	5	86.8
Costa Rica	Costa Rica La Legua Bourbon	8.5	8.6	8.6	9	8.6	8.5	8.4	8	8	8	4	88.2
Costa Rica	Costa Rica Helsar de Zarcero - Macho Arce	8.6	8.7	9.1	8.6	7.5	8.5	8	8.7	7.5	8.3	4	87.5
Costa Rica	Costa Rica San Martin de Leon Cortes	8.6	8.8	8.6	9	8.3	9	8.7	8.5	7.5	8.5	4	89.5
Costa Rica	Costa Rica Chirripo Los Crestones -Finca Alaska	8.4	8.5	8.7	8.4	8.6	8.6	8.5	8.5	6.7	8	4	86.9
Costa Rica	Costa Rica Hernan Solis Villa Sarchi	8.6	8.6	9	8.5	7.5	8.4	8.5	8.5	8	9	5	89.6
Costa Rica	Costa Rica Manantiales -Finca Fidel	8.6	8.7	8.7	8.8	8.5	8.7	8.5	8	8.4	8	4	88.9
Costa Rica	Costa Rica West Valley WP Decaf	7.8	8.3	8.3	8.3	7.5	8.2	8	7.5	6	9	7	85.9
Costa Rica	Costa Rica Hernan Solis Villa Sarchi	8.4	8.5	9	8.5	7.5	8.4	8.5	8.5	8	9	5	89.3
Costa Rica	Costa Rica Dota Tarrazu -La Bisunga	8.7	8.7	8.7	8.6	8.5	8.5	7.5	8	7	8	5	87.2
Costa Rica	Costa Rica Helsar Caturra - Macho Arce	8.7	8.7	9	8.6	7	8.5	8	9	7	8.5	5	88
Costa Rica	Costa Rica Herbazu Yellow Honey	8.5	8.7	9	8.8	8.4	8.6	8	8	8.5	8.5	4	89
Costa Rica	Costa Rica Dota Tarrazu "Sangre de Toro"	8.8	8.8	8.7	8.9	8.4	8.8	8.7	8.5	8	8	5	90.6
Costa Rica	Costa Rica San Marcos Tarrazu	8.8	8.5	8.8	8.8	8.6	8.8	8.6	9	7.5	8.5	3	88.9
Costa Rica	Costa Rica Chirripo -Finca Alaska	8.4	8.5	8.9	8.6	7.2	8.6	9	8.5	7	9	5	88.7
Costa Rica	Costa Rica Finca La Ponderosa 100% Bourbon	8.8	8.6	8.8	9.2	8.6	9	8.6	7.8	8.5	8	4	89.9
Costa Rica	Costa Rica Cafetalera Herbazu	8.6	8.8	9.4	8.8	7.7	8.6	8.8	9	8	9	4	90.7
Costa Rica	Costa Rica Cafetin San Martin	8.6	8.7	8.7	9	8	9	8.7	9	7.5	9	4	90.2
Costa Rica	Costa Rica Caturra - "Macho Arce"	8.7	8.7	9	8.6	7	8.5	8	9	7	8.5	5	88
Costa Rica	Costa Rica El Puente Tarrazu Caturra	8.5	8.5	8.7	8.8	8.6	8.4	8.4	8	7.5	8.5	4	87.9
Costa Rica	Costa Rica Chirripo - Los Crestones	8.4	8.5	8.8	8.6	7.3	8.3	9	8.5	6.5	9	5	87.9
Costa Rica	Costa Rica Herbazu Red Honey	8.4	8.7	9.2	8.8	8	8.3	7	8.4	7	8	6	87.8
Costa Rica	Costa Rica Gillio Francesa -Finca El Espino	8.3	8	8.4	8.8	8.5	8.5	8.2	7	8.5	7.5	7	88.7
Costa Rica	Costa Rica Helsar Villa Sarchi Solis	8.4	8.5	8.9	8.5	7.5	8.4	7.5	8.5	8	9	4	87.2
Costa Rica	Costa Rica Peaberry-Petite Bean Experiment	8.8	8.7	9	8.6	7.5	9	9	8	7	8	6	89.6
